Order ID,Order Date,Order Year,Sales person,Clubs,City,Product Category,Brand,Product Name,Quantity,Unit price,Unit cost,Sales,Cost
INV40001,01-Jan-25,2025,Bisma Siddiqui,Gujranwala Golf & Country Club,Gujranwala,Bags,Wilson,Talus Stand Bag,1,"65,280","23,936","65,280","23,936"
INV40002,01-Jan-25,2025,Mohammad Aslam,Islamabad Golf Club,Islamabad,Bags,Wilson,Talus Stand Bag,1,"63,130","23,936","63,130","23,936"
INV40003,01-Jan-25,2025,Qasim Jafri,DHA Golf Club,Karachi,Irons,Callaway,Elyte X Irons,1,"101,200","48,006","101,200","48,006"
INV40004,01-Jan-25,2025,Javeria Abbasi,Defence Raya Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,2,"7,540","3,557","15,080","7,115"
INV40005,01-Jan-25,2025,Kamran Ali,Airmen Golf Club,Karachi,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"94,380","45,011","94,380","45,011"
INV40006,01-Jan-25,2025,Shahbaz Khan,Defence Raya Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,3,"7,510","3,557","22,530","10,672"
INV40007,01-Jan-25,2025,Javeria Abbasi,Airmen Golf Club,Karachi,Bags,Wilson,Talus Stand Bag,1,"63,390","23,936","63,390","23,936"
INV40008,01-Jan-25,2025,Qasim Jafri,SRC Golf Club,Hyderabad,Irons,Titleist,T150 Black,1,"62,980","22,838","62,980","22,838"
INV40009,01-Jan-25,2025,Shahbaz Khan,Gujranwala Golf & Country Club,Gujranwala,Irons,Tigerline Golf,Tigerline CBX Cavity Back,1,"90,570","46,168","90,570","46,168"
INV40010,02-Jan-25,2025,Nadia Hussain,Defence Raya Golf Club,Lahore,Bags,Callaway,Elyte Fairway C Stand Bag,1,"85,900","41,198","85,900","41,198"
INV40011,02-Jan-25,2025,Dania Ahmed,Lahore Garrison Golf Club,Lahore,Irons,Wilson,DYNAPWR Steel Irons,2,"40,030","18,235","80,060","36,470"
INV40012,03-Jan-25,2025,Mohammad Aslam,Arabian Sea Country Club,Karachi,Balls,Tigerline Golf,Tigerline TOUR MAX DT,2,"7,420","3,557","14,840","7,115"
INV40013,03-Jan-25,2025,Bisma Siddiqui,Karachi Golf Club,Karachi,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"100,620","45,011","100,620","45,011"
INV40014,03-Jan-25,2025,Omais Farooqi,Karachi Golf Club,Karachi,Irons,Callaway,Elyte X Irons,1,"96,790","48,006","96,790","48,006"
INV40015,03-Jan-25,2025,Qasim Jafri,Defence Raya Golf Club,Lahore,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"103,920","46,168","207,840","92,337"
INV40016,03-Jan-25,2025,Kamran Ali,SRC Golf Club,Hyderabad,Bags,Callaway,Elyte Fairway C Stand Bag,1,"84,170","41,198","84,170","41,198"
INV40017,03-Jan-25,2025,Laiba Khan,Airmen Golf Club,Karachi,Bags,Callaway,Elyte Fairway C Stand Bag,1,"98,840","41,198","98,840","41,198"
INV40018,03-Jan-25,2025,Nadia Hussain,Lahore Garrison Golf Club,Lahore,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"80,810","27,088","80,810","27,088"
INV40019,03-Jan-25,2025,Shahbaz Khan,Airmen Golf Club,Karachi,Irons,Wilson,DYNAPWR Steel Irons,2,"43,880","18,235","87,760","36,470"
INV40020,03-Jan-25,2025,Hina Sheikh,SRC Golf Club,Hyderabad,Bags,Callaway,Elyte Fairway C Stand Bag,3,"90,750","41,198","272,250","123,593"
INV40021,04-Jan-25,2025,Qasim Jafri,Airmen Golf Club,Karachi,Balls,Dunlop,Triad Golf Balls,5,"4,560","1,476","22,800","7,380"
INV40022,04-Jan-25,2025,Dania Ahmed,SRC Golf Club,Hyderabad,Irons,Titleist,T150 Black,2,"61,390","22,838","122,780","45,677"
INV40023,04-Jan-25,2025,Omais Farooqi,Lahore Gymkhana Golf Club,Lahore,Balls,Callaway,Chrome Tour,5,"4,380","1,625","21,900","8,123"
INV40024,04-Jan-25,2025,Dania Ahmed,Islamabad Golf Club,Islamabad,Balls,Callaway,Chrome Tour,2,"3,830","1,625","7,660","3,249"
INV40025,04-Jan-25,2025,Imran Khan,Lahore Garrison Golf Club,Lahore,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"92,580","46,168","185,160","92,337"
INV40026,04-Jan-25,2025,Omais Farooqi,Karachi Golf Club,Karachi,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"95,420","45,011","95,420","45,011"
INV40027,04-Jan-25,2025,Fatima Raza,Islamabad Golf Club,Islamabad,Balls,Titleist,Titleist Velocity,3,"5,290","1,733","15,870","5,198"
INV40028,04-Jan-25,2025,Dania Ahmed,Islamabad Golf Club,Islamabad,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"73,330","27,088","73,330","27,088"
INV40029,04-Jan-25,2025,Tasneem Rizvi,Lahore Gymkhana Golf Club,Lahore,Balls,Dunlop,Triad Golf Balls,5,"4,640","1,476","23,200","7,380"
INV40030,05-Jan-25,2025,Chaudhry Kamil,Margalla Greens Golf Club,Islamabad,Balls,Tigerline Golf,Tigerline TOUR MAX DT,3,"7,360","3,557","22,080","10,672"
INV40031,05-Jan-25,2025,Shahbaz Khan,Islamabad Golf Club,Islamabad,Bags,Callaway,Elyte Fairway C Stand Bag,2,"85,640","41,198","171,280","82,396"
INV40032,05-Jan-25,2025,Ehsan Malik,SRC Golf Club,Hyderabad,Irons,Callaway,Elyte X Irons,2,"98,180","48,006","196,360","96,012"
INV40033,05-Jan-25,2025,Bisma Siddiqui,Lahore Garrison Golf Club,Lahore,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"76,970","27,088","76,970","27,088"
INV40034,05-Jan-25,2025,Fatima Raza,Airmen Golf Club,Karachi,Balls,Dunlop,Triad Golf Balls,1,"4,660","1,476","4,660","1,476"
INV40035,05-Jan-25,2025,Chaudhry Kamil,Rawalpindi Golf Club,Islamabad,Balls,Titleist,Titleist Velocity,5,"4,930","1,733","24,650","8,664"
INV40036,05-Jan-25,2025,Rabia Butt,Lahore Gymkhana Golf Club,Lahore,Balls,Dunlop,Triad Golf Balls,4,"4,620","1,476","18,480","5,904"
INV40037,05-Jan-25,2025,Dania Ahmed,Lahore Gymkhana Golf Club,Lahore,Bags,Wilson,Talus Stand Bag,1,"65,580","23,936","65,580","23,936"
INV40038,05-Jan-25,2025,Tasneem Rizvi,Rumanza Golf & Country Club,Multan,Balls,Dunlop,Triad Golf Balls,3,"4,500","1,476","13,500","4,428"
INV40039,05-Jan-25,2025,Dania Ahmed,Lahore Garrison Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,1,"7,460","3,557","7,460","3,557"
INV40040,05-Jan-25,2025,Bisma Siddiqui,Lahore Gymkhana Golf Club,Lahore,Balls,Callaway,Chrome Tour,5,"3,640","1,625","18,200","8,123"
INV40041,06-Jan-25,2025,Perveen Akhtar,Gujranwala Golf & Country Club,Gujranwala,Balls,Callaway,Chrome Tour,1,"3,890","1,625","3,890","1,625"
INV40042,06-Jan-25,2025,Ehsan Malik,Gujranwala Golf & Country Club,Gujranwala,Bags,Dunlop,XXIO Lightweight Caddy Bag,2,"94,060","45,011","188,120","90,023"
INV40043,06-Jan-25,2025,Kamran Ali,Karachi Golf Club,Karachi,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"101,880","46,168","203,760","92,337"
INV40044,06-Jan-25,2025,Rabia Butt,Karachi Golf Club,Karachi,Irons,Titleist,T150 Black,1,"63,940","22,838","63,940","22,838"
INV40045,06-Jan-25,2025,Omais Farooqi,Rawalpindi Golf Club,Islamabad,Irons,Titleist,T150 Black,2,"59,170","22,838","118,340","45,677"
